Customer Field,Vendor Field,Cosine Similarity
Record Identifier,Record ID,0.8612
RxCLAIM Number,Claim ID,0.5536
Claim Sequence Number,Claim ID,0.59
Claim Status Code,Claim ID,0.6512
Carrier ID,Claim ID,0.5804
Carrier ID Override,Claim ID,0.4029
Account ID,Record ID,0.5884
Version Release Number,Record Number,0.3658
Group ID,Group_ID,0.8877
Group Plan Code,Plan_Paid_Amount,0.4291
Group Client Benefit Code,Member_Deductible,0.4256
Claim Response Status Code,Claim ID,0.5465
Member ID,Group_ID,0.5911
Member Last Name,Member_Total_Paid_Amount,0.5041
Member First Name,Member_Copay_Coins,0.4879
Member Middle Initial,Member_Other_Cost,0.3942
Member Person Code,Member_Other_Cost,0.5194
Member Relationship Code,Member_Other_Cost,0.4312
Member Gender Code,Member_Deductible,0.3972
Member Date of Birth,Date_of_Birth,0.6403
Member Age - First of Month,Member_Total_Paid_Amount,0.479
Member Zip Code,Patient_Zip_code,0.6155
Member Social Security Number (SSN),SSN,0.7052
Member Drug Utilization Review (DUR) Process Flag,Prescriber_Name,0.3896
Member Family ID,Record ID,0.5136
Member Family Indicator,Member_Total_Paid_Amount,0.35
Member Family Type,Member_Deductible,0.3816
Coordination of Benefits (COB) Code,Member_Other_Cost,0.2955
Member Benefit Plan Code,Member_Deductible,0.5527
Member Client Product Code,Member_Deductible,0.4973
Care Facility ID,Patient_City,0.4896
Care Facility Name,Patient_First_Name,0.4805
Primary Physician ID,Patient_ID,0.6308
Primary Prescriber First Name,Prescriber_Name,0.7381
Primary Prescriber Last Name,Prescriber_Name,0.7197
Primary Prescriber Middle Initial,Prescriber_Name,0.6566
Primary Prescriber Specialty Code,Prescriber_Name,0.6185
Member Alternate Insurance Code,Member_Deductible,0.5473
Member Alternate Insurance Name,Member_Deductible,0.5088
Alternate Insurance Member ID,Claim ID,0.5715
Member Medicare Coverage From Date,Member_Deductible,0.4649
Member Medicare Coverage Type,Member_Deductible,0.5293
Medicare Beneficiary Identifier (MBI) ,Claim ID,0.4522
Subscriber ID - Submitted,Prescriber_Name,0.5119
Member Last Name - Submitted,Patient_Last_Name,0.4777
Member First Name - Submitted,Patient_First_Name,0.4822
Person Code - Submitted,Patient_City,0.4341
Relationship Code - Submitted,Relationship,0.5419
Member Gender Code - Submitted,Date_of_Birth,0.3745
Member Date of Birth - Submitted,Date_of_Birth,0.6521
Eligibility Clarification Code - Submitted,Claim ID,0.3416
Customer Location Code - Submitted,Patient_Zip_code,0.6049
Primary Care Provider ID - Submitted,Patient_ID,0.6331
Primary Care Provider ID Qualifier - Submitted,Patient_ID,0.5534
Facility ID - Submitted,Patient_City,0.5077
Other Coverage Code - Submitted,Plan_Paid_Amount,0.2782
Bank Identification Number (BIN) - Submitted,Claim ID,0.4609
Processor Control Number - Submitted,Record ID,0.3651
Group Number - Submitted,Group_ID,0.6356
Transaction Code - Submitted,Record ID,0.3347
Claim Submitted Date ,Claim ID,0.5309
Claim Submitted Time,Claim ID,0.4808
Original Paid Transaction Submitted Date,Paid_Date,0.5953
Claim Reversal Submitted Date,Claim ID,0.4218
Claim Counter,Claim ID,0.584
Brand/Generic Drug Counter,Pharmacy_Type,0.5467
Formulary Counter,Formulary,0.6288
Prescription Number - Submitted,Date_Prescription_Filled,0.6859
Prescription Number Qualifier - Submitted ,Prescription_No,0.6849
Prescription New/Refill Code - Submitted,Date_Prescription_Filled,0.6594
Prescription Fill Date - Submitted,Date_Prescription_Filled,0.8415
Prescription Compound Code - Submitted,Prescription_No,0.6812
Product ID Qualifier - Submitted,Record ID,0.4888
Product ID - Submitted,Record ID,0.5533
Product Key,Brand_Generic,0.4042
Metric Quantity Dispensed - Submitted,Quantity,0.4836
Quantity Dispensed - Submitted,Total_Billed_Amount,0.5053
Days Supply - Submitted,Days_Supply,0.7766
Product Selection Code - Submitted,Brand_Generic,0.3302
Prescription Written Date -  Submitted,Date_Prescription_Filled,0.8122
Number of Authorized Refills - Submitted,Date_Prescription_Filled,0.3606
Prescription Origin Code - Submitted,Prescription_No,0.6128
Prescription Denial Clarification Code - Submitted,Prescription_No,0.5634
Prior Authorization/Medical Certification Number - Submitted,Patient_Last_Name,0.5201
Prior Authorization/Medical Certification Code - Submitted,Patient_Last_Name,0.4612
Member Prior Authorization Number,Member_Deductible,0.4619
Member Prior Authorization Reason Code,Member_Other_Cost,0.4387
Member Prior Authorization From Date,Date_of_Service,0.3957
Member Prior Authorization Through Date,Date_of_Service,0.411
Drug Label Abbreviation,Pharmacy_Name,0.4897
Drug Name ,Drug_Strength,0.5816
Drug Manufacturer ID,Pharmacy_Name,0.6235
Drug Manufacturer Name,Pharmacy_Name,0.6075
Generic Product Indicator (GPI) Number,Brand_Generic,0.3705
Generic Drug Name,Brand_Generic,0.5756
Product Package Size  - Unit of Measure (UOM),Quantity,0.3551
Product Package Size,Quantity,0.4152
Drug Descriptor Identifier (DDID),Pharmacy_Type,0.5246
American Hospital Formulary Service (AHFS) Class Code,Patient_Zip_code,0.4622
Drug Enforcement Agency (DEA) Code,Patient_Zip_code,0.4424
Prescription Over the Counter (OTC) Code,Prescription_No,0.5592
Multisource Code,In-Out_Network,0.2492
Generic Code Override,Brand_Generic,0.3285
Product Reimbursement Code,Member_Deductible,0.4245
Drug Brand/Trademark Code,Pharmacy_Name,0.5445
Food and Drug Administration (FDA) Therapeutic Equivalent Code,Pharmacy_Type,0.4577
Drug Metric Strength,Drug_Strength,0.6498
Drug Strength - Unit of Measure (UOM),Drug_Strength,0.6168
Drug Administration Route Code,Pharmacy_Type,0.4788
Drug Dosage Form Code,Dosage Form,0.7349
Maintenance Drug Code,Pharmacy_Type,0.4989
Drug Third Party Exception Code,Pharmacy_Type,0.4552
Drug Unit Dose/Unit of Use Code,Dosage Form,0.6005
Unit Dose Code - Submitted,Dosage Form,0.5434
Super Pharmacy Network ID,Pharmacy_Name,0.6641
Pharmacy Network ID,Pharmacy_Name,0.7134
Pharmacy Network Name,Pharmacy_Name,0.7134
Pharmacy Network Carrier ID,Pharmacy_Name,0.6464
Pharmacy Network Region Code,Patient_Zip_code,0.5833
Pharmacy Chain Code ,Pharmacy_Name,0.6192
Pharmacy Network Priority Code,Pharmacy_Type,0.5465
Pharmacy Network Type,Pharmacy_Type,0.6906
Pharmacy Network List Used - National Drug Code (NDC),Pharmacy_Type,0.5688
Pharmacy Network List Used - Generic Product Indicator (GPI),Pharmacy_Type,0.6092
Service Provider ID - Validated,Claim ID,0.4889
Service Provider ID Qualifier - Validated,Claim ID,0.4275
Pharmacy Store Number,Pharmacy_Name,0.6538
Pharmacy Relationship Code ,Pharmacy_Type,0.6801
Pharmacy Payee ID,Pharmacy_Name,0.6686
Dispenser Class Code,Pharmacy_Type,0.2724
Dispenser Type Code,Pharmacy_Type,0.3913
Pharmacy Zip Code,Patient_Zip_code,0.6629
Prescriber ID - Submitted,Prescriber_Name,0.815
Prescriber ID Qualifier - Submitted ,Prescriber_Name,0.7544
Prescriber Last Name,Prescriber_Name,0.82
Prescriber First Name,Prescriber_Name,0.8277
Prescriber Middle Initial,Prescriber_Name,0.7278
Prescriber Specialty Code,Prescriber_Name,0.6685
Final Benefit Plan Code,Plan_Paid_Amount,0.5386
Final Benefit Plan Effective Date,Date_of_Service,0.4296
Benefit Plan Qualifier,Plan_Paid_Amount,0.4458
Benefit Plan National Drug Code (NDC) List Name,Pharmacy_Name,0.471
Benefit Plan Generic Product Indicator (GPI) List Name,Plan_Paid_Amount,0.3594
Benefit Plan Preferred Drug List - National Drug Code (NDC),Pharmacy_Type,0.4962
Benefit Plan Preferred Drug List - Generic Product Indicator (GPI),Pharmacy_Type,0.4836
Benefit Plan Drug Status Code,Patient_State,0.4558
Benefit Plan Final Price Schedule,Plan_Paid_Amount,0.5362
Formulary Protocol Flag,Formulary,0.3775
Formulary Flag,Formulary,0.5672
Contingent Therapy Code,Patient_State,0.4143
Pharmacy Claim Message 1,Pharmacy_Name,0.5716
Pharmacy Claim Message 2,Pharmacy_Name,0.5444
Pharmacy Claim Message 3,Pharmacy_Name,0.5424
Pharmacy Claim Reject Code Count,Pharmacy_Type,0.4177
"Pharmacy Claim Reject Code 1
",Pharmacy_Type,0.5042
Pharmacy Claim Reject Code 2,Pharmacy_Type,0.488
Pharmacy Claim Reject Code 3,Pharmacy_Type,0.4881
Benefit Plan Identifier - Rejected Pharmacy Claim,Pharmacy_Name,0.5186
Drug Utilization Review (DUR) Conflict Code - Submitted,Date_Prescription_Filled,0.4513
Drug Utilization Review (DUR)  Professional Service Code (Intervention Code) - Submitted,Drug_Strength,0.4869
Drug Utilization Review (DUR) Result of Service Code (Outcome Code) - Submitted,Date_Prescription_Filled,0.4465
Drug Utilization Review (DUR)  Level of Service - Submitted ,Dosage Form,0.4508
Diagnosis Code - Submitted,Patient_City,0.4906
Diagnosis Code Qualifier - Submitted,Patient_State,0.4955
Reversal Drug Utilization Review (DUR) Conflict Code,Prescriber_Name,0.3904
Reversal Submitted Professional Service Code (Intervention Code) - Drug Utilization Review (DUR),Drug_Strength,0.4544
Reversal Drug Utilization Review (DUR) Result of Service Code (Outcome Code),Prescription_No,0.3814
Reversal Level of Service Code - Drug Utilization Review (DUR),Drug_Strength,0.4193
Drug Conflict Code 1 - Drug Utilization Review (DUR),Pharmacy_Type,0.4243
Severity Index Code 1- Drug Utilization Review (DUR),Drug_Strength,0.4469
Other Pharmacy Code 1 - Drug Utilization Review (DUR),Pharmacy_Type,0.4935
Date of Previous Fill 1 - Drug Utilization Review (DUR),Date_Prescription_Filled,0.6497
Quantity of Previous Fill 1 - Drug Utilization Review (DUR),Date_Prescription_Filled,0.5353
Database Code 1 - Drug Utilization Review (DUR),Pharmacy_Type,0.468
Other Prescriber Code 1 - Drug Utilization Review (DUR),Prescriber_Name,0.5269
Free Text Message 1 - Drug Utilization Review (DUR),Drug_Strength,0.4285
Drug Conflict Code 2 - Drug Utilization Review (DUR),Pharmacy_Type,0.4164
Severity Index Code 2- Drug Utilization Review (DUR),Drug_Strength,0.4422
Other Pharmacy Code 2 - Drug Utilization Review (DUR),Pharmacy_Type,0.49
Date of Previous Fill 2 - Drug Utilization Review (DUR),Date_Prescription_Filled,0.6328
Quantity of Previous Fill 2 - Drug Utilization Review (DUR),Dosage Form,0.5339
Database Code 2 - Drug Utilization Review (DUR),Pharmacy_Type,0.4685
Other Prescriber Code 2 - Drug Utilization Review (DUR),Prescriber_Name,0.5043
Free Text Message 2 - Drug Utilization Review (DUR),Drug_Strength,0.4233
Drug Conflict Code 3 - Drug Utilization Review (DUR),Pharmacy_Type,0.4183
Severity Index Code 3- Drug Utilization Review (DUR),Drug_Strength,0.444
Other Pharmacy Code 3 - Drug Utilization Review (DUR),Pharmacy_Type,0.4938
Date of Previous Fill 3 - Drug Utilization Review (DUR),Date_Prescription_Filled,0.6324
Quantity of Previous Fill 3 - Drug Utilization Review (DUR),Dosage Form,0.5253
Database Code 3 - Drug Utilization Review (DUR),Pharmacy_Type,0.4622
Other Prescriber Code 3 - Drug Utilization Review (DUR),Prescriber_Name,0.5093
Free Text Message 3 - Drug Utilization Review (DUR,Drug_Strength,0.4178
Average Wholesale Price (AWP) - Unit Cost,Total_Billed_Amount,0.3094
Wholesale Acquisition Cost (WAC) - Unit Cost,Member_Other_Cost,0.2862
Generic Equivalent Average Price (GEAP) - Unit Cost ,Brand_Generic,0.2968
Cost Type - Unit Cost ,Member_Other_Cost,0.3891
Basis of Cost Determination Code - Submitted ,Member_Other_Cost,0.4045
Pricing Quantity,Quantity,0.6559
Reversal Incentive Amount -  Submitted,Plan_Paid_Amount,0.3892
Ingredient Cost - Submitted,Member_Other_Cost,0.3621
Dispensing Fee - Submitted ,Total_Billed_Amount,0.4301
Percentage Sales Tax - Submitted ,Total_Billed_Amount,0.3002
Flat Sales Tax - Submitted,Total_Billed_Amount,0.2676
Total Sales Tax - Submitted,Total_Billed_Amount,0.3999
Member Paid Amount - Submitted,Member_Total_Paid_Amount,0.7612
Gross Amount Due - Submitted,Total_Billed_Amount,0.6359
Incentive Amount - Submitted,Plan_Paid_Amount,0.4698
Professional Service Fee - Submitted,Total_Billed_Amount,0.4142
Total Other Amount - Submitted,Total_Billed_Amount,0.606
Usual & Customary Amount - Submitted,Total_Billed_Amount,0.4824
